name,PLN_AREA_N,category,lat,lng
NEWest,CLEMENTI,health,1.3164853,103.7573965
Astute Medical Clinic,OUTRAM,health,1.2837158000000002,103.8465822
First Aid Shop,KALLANG,hospital,1.3122204,103.8595525
Aapage office,BISHAN,hospital,1.3540998,103.8278392
DTAP Clinic @Kovan (Dr. Tan & Partners),HOUGANG,hospital,1.3618465,103.8872013
Eu Yan Sang Private Limited,GEYLANG,hospital,1.3263376,103.8927403
Northeast Medical Group (Sengkang),SENGKANG,hospital,1.3914921999999998,103.8960025
Elissa Medical Clinic,HOUGANG,hospital,1.3758021,103.8794307
Uber Aesthetic Clinic,SERANGOON,hospital,1.3651694,103.8651106
TTSH CLINICS side,NOVENA,hospital,1.320699,103.8445117
SOG - Cindy Pang Clinic for Women & Gynae Oncology,NEWTON,hospital,1.3049589,103.8351774
Vivo Enterprise Pte. Ltd.,GEYLANG,hospital,1.326544,103.875761
Perak,NOVENA,hospital,1.3255639,103.842406
Dialysis Centre,YISHUN,hospital,1.434065,103.839015
Asia Renal Care (S) Pte Ltd,BISHAN,hospital,1.3490163999999998,103.850475
Dr Z Tuina,CLEMENTI,hospital,1.316638,103.769127
Huaxia Acupuncture & Chinese Medical Centre,DOWNTOWN CORE,hospital,1.3021194,103.8640882
NUH Child Development Unit @ Keat Hong (CDU@KH),CHOA CHU KANG,hospital,1.384181,103.7451181
International Medical Clinic - Katong,MARINE PARADE,hospital,1.305095,103.904294
Snec@bedok,BEDOK,hospital,1.3251665,103.9321098
Ko & Ko Specialists Pte Ltd,TOA PAYOH,hospital,1.3419083,103.8379548
Singapore hospital,DOWNTOWN CORE,hospital,1.2777366,103.8476215
Medical Ambulatory Centre TTSH,NOVENA,hospital,1.3213362,103.846657
Mak Heart Clinic,TANGLIN,hospital,1.3077263,103.8200865
Steven's Baby & Child Clinic,TOA PAYOH,hospital,1.3419083,103.8379548
St georges clinic and surgery,KALLANG,hospital,1.3233169,103.860718
Florilia Surgery,ORCHARD,hospital,1.301654,103.838554
Econ Recreation Branch,SERANGOON,hospital,1.3529208,103.8741246
Qnett Private Limited,BEDOK,hospital,1.33251,103.902292
Geriatric Special Care Dentistry Clinic (GSDC),BISHAN,hospital,1.360743,103.844141
Vet-Aqua Life,SERANGOON,hospital,1.3833115,103.8756142
Bukit Merah Polyclinic,BUKIT MERAH,hospital,1.2837188999999998,103.8171087
Singapore Aeromedical Centre,PAYA LEBAR,hospital,1.3424154,103.8997517
EPic Asia Pte Ltd,GEYLANG,hospital,1.3224148999999998,103.8920821
Tay Medical Centre The,QUEENSTOWN,hospital,1.307145,103.795477
Former Kandang Kerbau Hospital,KALLANG,hospital,1.3086501,103.8487219
Bethesda Medical Centre,DOWNTOWN CORE,hospital,1.2946017,103.8578815
Jin On Chinese Physician Acupunturist and Physiotherapy Centre,GEYLANG,hospital,1.3175689,103.8794306
Ibulth,SELETAR,hospital,1.4116421,103.875668
Serangan Animasi,WOODLANDS,hospital,1.4448893,103.7927995
Saint-Julien Clinic for Diabetes & Endocrinology (Farrer Park Hospital),ROCHOR,hospital,1.3127619,103.8545562
Chinatown Chinese Medical Center,OUTRAM,hospital,1.2839114,103.8453499
Parkway East Hospital 24 Hours Clinic (Accident & Emergency),BEDOK,hospital,1.3149524,103.9089282
BP CC,BISHAN,hospital,1.355415,103.840098
Boey@Holland V,QUEENSTOWN,hospital,1.311202,103.7953112
Pioneer Medicare,JURONG WEST,hospital,1.3338027,103.6968615
"Endoscopy, Veins & Piles Centre",ROCHOR,hospital,1.3127619,103.8545562
Ren Ci @ Bukit Batok,BUKIT BATOK,hospital,1.355001,103.7515945
Novena Surgery Pte Ltd,NOVENA,hospital,1.3207595,103.8443605
CMY Medical Pte Ltd,BEDOK,hospital,1.3254553,103.926217
Exit fr Rail corridor~Alexandra hospital,QUEENSTOWN,hospital,1.2844331,103.801372
Admiralty Medical Centre (AdMC) Pharmacy Services,WOODLANDS,pharmacy,1.4398953,103.8006188
Sian Chay Medical Institution,GEYLANG,hospital,1.3142279,103.8883537
Martin St. Peter's Hospital,GEYLANG,hospital,1.3158667,103.8967645
NDR Medical Technology Private Limited,QUEENSTOWN,hospital,1.2973728,103.7863205
CKW HOUSE,PIONEER,hospital,1.3201609,103.6747376
Adspress Systech Pte. Ltd.,CLEMENTI,hospital,1.336864,103.7544416
Hosptal,YISHUN,hospital,1.4294437,103.8355833
Pacific Healthcare Holdings Limited,ORCHARD,hospital,1.303905,103.835576
SW Medical Centre,YISHUN,hospital,1.4325261,103.8332313
Mount Alvernia Hospital 24-Hr Clinic & Emergency,TOA PAYOH,hospital,1.3420816999999998,103.8379436
Joy Lee Breast And General Surgery Pte Ltd,TOA PAYOH,hospital,1.3421217,103.8377029
Nobel Chest & Internal Medicine Centre,TOA PAYOH,hospital,1.3419181,103.8375243
Community Hub@Sengkang,SENGKANG,hospital,1.3926040000000002,103.873258
Frontier Family Medicine Clinic,CLEMENTI,hospital,1.3142178999999998,103.765169
