name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 1 (BEDOK),1.32796879176302,103.922716018139,HDB,156.4952,High Accessibility,1,BEDOK
Block 1 (CHANGI),1.3886100383707,103.988093482829,HDB,24.9972,Poor Accessibility,3,CHANGI
Block 1 (GEYLANG),1.31129091782202,103.897703436187,HDB,173.5561,High Accessibility,1,GEYLANG
Block 1 (BUKIT MERAH),1.28644157642074,103.808286977232,HDB,101.4236,High Accessibility,1,BUKIT MERAH
Block 1 (MARINE PARADE),1.30482902187779,103.918614976369,HDB,103.7518,High Accessibility,1,MARINE PARADE
Block 1 (WOODLANDS),1.44067109860246,103.775739945213,HDB,64.4658,Poor Accessibility,3,WOODLANDS
Block 1 (BUKIT MERAH),1.27945660077329,103.817897561986,HDB,109.7575,High Accessibility,1,BUKIT MERAH
Block 1 (NOVENA),1.33051031184912,103.837543691498,HDB,89.2309,Moderate Accessibility,2,NOVENA
Block 1 (WOODLANDS),1.45481345453812,103.800069233274,HDB,48.7929,Poor Accessibility,3,WOODLANDS
Block 1A (CHANGI),1.38796658624186,103.988298872524,HDB,25.2257,Poor Accessibility,3,CHANGI
Block 1A (BUKIT MERAH),1.27960681823771,103.817790528392,HDB,110.1001,High Accessibility,1,BUKIT MERAH
Block 10 (TOA PAYOH),1.33461833377097,103.88016502252,HDB,78.6921,Moderate Accessibility,2,TOA PAYOH
Block 10 (TOA PAYOH),1.33716527577081,103.857228807914,HDB,86.3994,Moderate Accessibility,2,TOA PAYOH
Block 10 (WOODLANDS),1.44080567418718,103.777318569996,HDB,68.1468,Poor Accessibility,3,WOODLANDS
Block 10 (BUKIT MERAH),1.27773153190559,103.819769431353,HDB,106.384,High Accessibility,1,BUKIT MERAH
Block 10 (WOODLANDS),1.45428714079221,103.800262079753,HDB,50.0562,Poor Accessibility,3,WOODLANDS
Block 10A (TOA PAYOH),1.33717164294913,103.857793534302,HDB,86.1224,Moderate Accessibility,2,TOA PAYOH
Block 10B (TOA PAYOH),1.33716136352623,103.858353639387,HDB,85.8889,Moderate Accessibility,2,TOA PAYOH
Block 10C (TOA PAYOH),1.33691012993385,103.858049346644,HDB,86.2721,Moderate Accessibility,2,TOA PAYOH
Block 10E (BEDOK),1.3216200934601,103.937040959341,HDB,123.3309,High Accessibility,1,BEDOK
Block 10F (BEDOK),1.32221773472774,103.937001345916,HDB,130.3596,High Accessibility,1,BEDOK
Block 100 (NOVENA),1.32077947735201,103.854348739922,HDB,109.8172,High Accessibility,1,NOVENA
Block 101 (ANG MO KIO),1.37026158388486,103.839467898898,HDB,125.1388,High Accessibility,1,ANG MO KIO
Block 101 (BUKIT MERAH),1.27146256556443,103.825683545567,HDB,99.7657,High Accessibility,1,BUKIT MERAH
Block 101 (SEMBAWANG),1.45139998591606,103.830859953414,HDB,62.6782,Poor Accessibility,3,SEMBAWANG
Block 101 (CLEMENTI),1.32208936757694,103.76893341249,HDB,90.4129,Moderate Accessibility,2,CLEMENTI
Block 101 (HOUGANG),1.35493747800562,103.891360573947,HDB,87.1397,Moderate Accessibility,2,HOUGANG
Block 101 (PASIR RIS),1.36705021516612,103.958181857039,HDB,76.4457,Moderate Accessibility,2,PASIR RIS
Block 101 (SERANGOON),1.37103631988089,103.870360910842,HDB,78.5612,Moderate Accessibility,2,SERANGOON
Block 101 (NOVENA),1.32041710187602,103.853813946402,HDB,114.9268,High Accessibility,1,NOVENA
Block 101 (YISHUN),1.43053589946874,103.827668593789,HDB,122.9252,High Accessibility,1,YISHUN
Block 101A (SEMBAWANG),1.45173892803325,103.83045410628,HDB,62.7073,Poor Accessibility,3,SEMBAWANG
Block 101B (SEMBAWANG),1.45166310353079,103.831174909166,HDB,61.4053,Poor Accessibility,3,SEMBAWANG
Block 101C (YISHUN),1.43153255083691,103.827987575179,HDB,124.4001,High Accessibility,1,YISHUN
Block 102 (ANG MO KIO),1.37065009249377,103.839410348811,HDB,125.6246,High Accessibility,1,ANG MO KIO
Block 102 (BUKIT MERAH),1.2717673800708,103.82662196779,HDB,95.3512,High Accessibility,1,BUKIT MERAH
Block 102 (SEMBAWANG),1.45183449125061,103.832106719013,HDB,59.1568,Poor Accessibility,3,SEMBAWANG
Block 102 (CLEMENTI),1.32228557225905,103.769201884359,HDB,88.5222,Moderate Accessibility,2,CLEMENTI
Block 102 (BUKIT MERAH),1.28033700695655,103.813510155208,HDB,92.2991,High Accessibility,1,BUKIT MERAH
Block 102 (HOUGANG),1.35496446293882,103.890855054687,HDB,89.9911,Moderate Accessibility,2,HOUGANG
Block 102 (PASIR RIS),1.36748427336516,103.958041055125,HDB,76.6921,Moderate Accessibility,2,PASIR RIS
Block 102 (SERANGOON),1.37084327297737,103.871153606719,HDB,76.652,Moderate Accessibility,2,SERANGOON
Block 102A (SEMBAWANG),1.45119390519494,103.832227554636,HDB,60.2759,Poor Accessibility,3,SEMBAWANG
Block 102A (BUKIT MERAH),1.28029134553105,103.81333235886,HDB,91.4488,High Accessibility,1,BUKIT MERAH
Block 102B (SEMBAWANG),1.45123970424367,103.83143636512,HDB,61.8301,Poor Accessibility,3,SEMBAWANG
Block 102C (SEMBAWANG),1.4515599303551,103.831765050319,HDB,60.4352,Poor Accessibility,3,SEMBAWANG
Block 103 (ANG MO KIO),1.37101657804604,103.839304839187,HDB,125.4518,High Accessibility,1,ANG MO KIO
Block 103 (BUKIT MERAH),1.27208558524996,103.825495615402,HDB,97.5064,High Accessibility,1,BUKIT MERAH
Block 103 (SEMBAWANG),1.4506760541128,103.830757597034,HDB,64.6183,Poor Accessibility,3,SEMBAWANG
Block 103 (CLEMENTI),1.32258854750628,103.769176205799,HDB,87.2035,Moderate Accessibility,2,CLEMENTI
Block 103 (HOUGANG),1.35528223434405,103.89036014824,HDB,94.3419,High Accessibility,1,HOUGANG
Block 103 (NOVENA),1.32734143333539,103.852780650365,HDB,118.8586,High Accessibility,1,NOVENA
Block 103 (PASIR RIS),1.36769508123853,103.958404209993,HDB,75.4685,Moderate Accessibility,2,PASIR RIS
Block 103 (SERANGOON),1.37067353047523,103.870263924296,HDB,79.4351,Moderate Accessibility,2,SERANGOON
Block 103A (SEMBAWANG),1.45103006132424,103.830534008712,HDB,64.2723,Poor Accessibility,3,SEMBAWANG
Block 103A (BUKIT MERAH),1.28070197642689,103.813353428682,HDB,92.6787,High Accessibility,1,BUKIT MERAH
Block 103B (SEMBAWANG),1.45056599465441,103.831238741555,HDB,63.785,Poor Accessibility,3,SEMBAWANG
Block 103B (BUKIT MERAH),1.28073692384594,103.813135678562,HDB,91.8549,High Accessibility,1,BUKIT MERAH
Block 104 (BUKIT MERAH),1.27239853587858,103.825625504182,HDB,96.0155,High Accessibility,1,BUKIT MERAH
Block 104 (SEMBAWANG),1.45027967438307,103.831896894891,HDB,62.9313,Poor Accessibility,3,SEMBAWANG
Block 104 (CLEMENTI),1.32294968512724,103.769189152266,HDB,85.5871,Moderate Accessibility,2,CLEMENTI
